system:index,0,0.5,1,1.5,total_area_96,total_area_20,total_loss,total_gain,change,per_change,seascape_size
"-1,949,353",S,S,S,S,0.554638275,0.895974989,0.549473491,0.890810204,0.341336714,61.54222119,25
"-1,948,353",S,N,N,N,0.121373724,0.920086793,0.121373724,0.920086793,0.798713069,658.0609399,25
"-1,947,353",S,S,S,S,0.462234436,1.814046561,0.460513072,1.812325197,1.351812125,292.4516262,25
"-1,946,353",S,S,S,S,0.738176033,1.595257423,0.708912682,1.565994073,0.85708139,116.1079948,25
"-1,945,353",S,S,S,S,0.496314598,1.902767941,0.452420279,1.858873622,1.406453343,283.3794026,25
"-1,944,353",S,S,S,S,1.217304004,2.417530799,1.054631599,2.254858394,1.200226795,98.59712866,25
"-1,943,353",S,S,S,S,0.683691562,0.118778626,0.672407855,0.107589432,-0.564912936,-82.62686969,25
"-1,982,354",N,N,N,N,0,0,0,0,0,0,25
"-1,981,354",N,N,N,N,0,0,0,0,0,0,25
"-1,980,354",S,S,S,S,7.930539532,4.988461363,5.25144574,2.309367571,-2.942078169,-37.09808339,25
"-1,979,354",S,S,S,S,7.991884069,6.35091763,5.597142485,3.956176046,-1.640966439,-20.53291095,25
"-1,978,354",S,S,S,S,11.09317835,1.392958563,10.17323489,0.473015106,-9.700219787,-87.44310675,25
"-1,977,354",S,S,S,S,7.044842773,0.367483957,6.951035116,0.273676301,-6.677358816,-94.78364573,25
"-1,976,354",S,S,S,S,17.32571572,0,17.32571572,0,-17.32571572,-100,25
"-1,975,354",S,S,S,S,19.81123349,0.03356423,19.79057851,0.012909243,-19.77766926,-99.83057981,25
"-1,974,354",S,S,S,S,19.0244181,0.460997075,18.65894593,0.095524905,-18.56342103,-97.57681379,25
"-1,973,354",MS,MS,MS,MS,9.806935976,1.944517976,8.029940736,0.167522734,-7.862418,-80.17201315,25
"-1,972,354",MS,S,S,S,1.302367686,0.8580059,0.635690247,0.19132846,-0.444361786,-34.11953404,25
"-1,971,354",S,S,S,S,0.456091157,0.35972162,0.393269927,0.296900389,-0.096369537,-21.1294465,25
"-1,970,354",S,N,N,N,0.000860546,0,0.000860546,0,-0.000860546,-100,25
"-1,969,354",S,N,N,N,0.012907754,0,0.012907754,0,-0.012907754,-100,25
